127.0.0.1 - - [21/Jan/2020:21:27:37 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/html/cart_homework3.html HTTP/1.1" 200 26548
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/css/ws.css HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/css/common.css HTTP/1.1" 200 26333
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/css/main.css HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/css/category.css HTTP/1.1" 200 43957
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/css/goods.css HTTP/1.1" 200 36071
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/css/member.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/css/order.css HTTP/1.1" 200 46687
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/css/customer.css HTTP/1.1" 200 8522
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/css/shop.css HTTP/1.1" 200 30073
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/css/plan.css HTTP/1.1" 200 15568
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/css/layout.css HTTP/1.1" 200 8135
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/css/event.css HTTP/1.1" 200 15883
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/css/temp.css HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/css/designer_pyr.css HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/css/IE_style.css HTTP/1.1" 200 1839
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/js/jquery-1.9.1.min.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/js/jquery-ui-1.10.2.custom.min.js HTTP/1.1" 200 228069
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/js/jquery.elevateZoom-2.5.5.min.js HTTP/1.1" 200 21644
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/js/ui.js HTTP/1.1" 200 28222
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/common/js/jcarousellite_1.0.1.js HTTP/1.1" 200 15479
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/images/common/btn_tnb_vip.gif HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:39 +0900] "GET /webTest/images/common/btn_tnb_mp.gif HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:40 +0900] "GET /webTest/images/common/btn_login.gif HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [21/Jan/2020:21:27:40 +0900] "GET /webTest/images/common/h1_logo.gif HTTP/1.1" 200 56715
